sample_index,MLII,V5,symbol
128698,0.8,-0.05,N
128958,0.995,-0.155,N
129230,0.905,-0.15,N
129519,0.9,-0.035,N
129798,0.955,0.53,N
130057,0.95,0.515,N
130318,0.935,0.76,N
130568,0.975,0.84,N
130818,0.785,0.85,N
131073,0.81,0.78,N
131326,0.875,0.855,N
131584,0.815,0.65,N
131851,1.08,0.875,N
132122,0.95,0.64,N
132381,0.93,0.34,N
132629,0.83,0.16,N
132883,0.89,0.205,N
133132,0.85,0.275,N
133390,0.72,0.035,N
133662,0.75,0.185,N
133933,0.885,0.335,N
134197,0.865,0.22,N
134463,0.76,0.29,N
134737,0.79,0.125,N
134990,0.925,0.095,N
135243,0.835,0.23,N
135504,0.83,0.3,N
135780,0.855,0.29,N
136061,0.915,0.355,N
136350,0.79,0.335,N
136630,0.96,0.255,N
136899,0.895,0.345,N
137170,0.765,0.41,N
137449,0.775,-0.06,N
137729,0.87,0.215,N
138008,0.875,0.215,N
138304,0.795,0.075,N
138598,0.875,0.56,N
138888,0.78,0.325,N
139164,0.78,0.06,N
139440,0.81,0.135,N
139719,0.85,0.53,N
140009,0.755,0.515,N
140302,0.975,0.61,N
140599,0.825,0.06,N
140881,0.81,0.27,N
141152,0.755,0.065,N
141423,0.795,0.05,N
141684,0.92,0.37,N
141943,0.785,0.145,N
142207,0.96,0.585,N
142479,0.895,0.39,N
142747,0.695,-0.24,N
143010,0.665,0.16,N
143265,0.695,-0.15,N
143515,0.785,-0.155,N
143766,0.795,0.045,N
144025,0.75,0.13,N
144286,0.825,-0.04,N
144557,0.8,0.28,N
144832,0.855,0.3,N
145111,0.765,0.26,N
145381,0.79,0.16,N
145647,0.86,0.11,N
145902,0.765,0.375,N
146170,0.88,0.195,N
146445,0.86,0.3,N
146737,0.925,0.43,N
147013,0.905,0.455,N
147290,0.96,0.55,N
147565,0.935,0.38,N
147832,0.94,0.63,N
148099,0.915,0.425,N
148363,0.89,0.54,N
148637,0.895,0.395,N
148916,0.875,0.345,N
149204,1.015,0.555,N
149488,0.865,0.07,N
149768,0.895,0.375,N
150030,0.93,0.21,N
150303,0.89,0.29,N
150575,0.845,0.26,N
150849,0.88,0.3,N
151122,0.8,0.305,N
151407,0.8,0.185,N
151700,0.98,0.455,N
151974,0.88,0.24,N
152237,0.88,0.1,N
152510,0.84,0.375,N
152781,0.84,0.37,N
153067,0.825,0.195,N
153362,0.775,0.24,N
153644,0.82,0.425,N
153922,0.79,0.455,N
154193,0.865,0.31,N
154470,0.8,0.425,N
154741,0.83,0.505,N
155009,0.785,0.43,N
155291,0.79,0.29,N
155588,0.87,0.36,N
155865,0.985,0.375,N
156132,0.9,0.35,N
156395,0.985,0.31,N
156648,1.04,0.385,N
156906,0.945,0.205,N
157168,0.97,0.38,N
157430,1.045,0.53,N
157695,0.985,0.48,N
157960,0.855,0.2,N
158233,0.905,0.405,N
158489,0.925,0.505,N
158730,0.895,0.27,N
158974,0.9,0.28,N
159225,0.95,0.585,N
159479,0.94,0.53,N
159738,0.89,0.365,N
160001,0.815,0.32,N
160260,0.935,0.38,N
160507,0.885,0.32,N
160755,0.945,0.455,N
161005,0.845,0.195,N
161254,0.995,0.55,N
161499,0.87,0.655,N
161764,0.825,0.47,N
162035,0.825,0.27,N
162308,0.94,0.52,N
162573,0.915,0.45,N
162835,0.795,0.325,N
163093,0.83,0.02,N
163362,0.94,0.245,N
163629,0.92,0.29,N
163899,0.845,0.16,N
164182,0.86,0.12,N
164461,0.955,0.195,N
164731,0.925,0.215,N
164991,0.825,0.255,N
165246,0.91,0.235,N
165499,0.84,0.135,N
165756,0.835,0.165,N
166032,0.855,0.39,N
166301,0.83,0.235,N
166570,0.76,0.16,N
166841,0.755,0.205,N
167111,0.815,0.12,N
167371,0.9,0.085,N
167641,0.8,0.165,N
167912,0.765,0.02,N
168191,0.765,-0.005,N
168484,0.755,0.285,N
168784,0.81,0.405,N
169074,0.845,0.015,N
169349,0.835,0.235,N
169629,0.78,0.195,N
169907,1.03,0.445,N
170201,0.77,0.245,N
170495,0.8,0.205,N
170719,0.84,0.13,A
171074,0.84,0.08,N
171371,0.83,0.5,N
171652,0.745,0.29,N
171921,0.845,-0.035,N
172199,0.795,0.185,N
172481,0.89,0.385,N
172776,0.795,0.025,N
173067,0.86,0.05,N
173351,0.89,0.575,N
173629,0.92,0.415,N
173907,0.815,-0.035,N
174176,0.825,0.115,N
174451,0.83,0.485,N
174737,0.795,0.25,N
175023,0.82,0.34,N
175323,0.915,0.27,N
175608,0.79,0.485,N
175877,0.79,0.19,N
176145,0.865,0.135,N
176427,0.92,0.585,N
176698,1.045,0.75,N
176975,0.915,0.5,N
177248,0.985,0.52,N
177523,0.99,0.365,N
177797,0.965,0.515,N
178059,1.06,0.485,N
178316,0.94,0.36,N
178578,1.04,0.305,N
178841,1.015,0.45,N
179117,0.895,0.42,N
179388,0.93,0.06,N
179662,1.015,0.265,N
179927,0.935,0.15,N
180182,0.86,0.325,N
180443,0.83,0.37,N
180705,0.965,0.395,N
180964,0.755,0.225,N
181236,0.81,0.365,N
181523,0.885,0.345,N
181811,1.02,0.47,N
182084,0.865,0.51,N
182353,0.965,0.71,N
182624,0.965,0.28,N
182896,1.135,0.785,N
183181,0.9,0.24,N
183475,0.935,0.095,N
183778,0.935,0.38,N
184071,1.05,0.66,N
184361,1.04,0.405,N
184649,0.925,0.24,N
184933,0.97,0.3,N
185213,1.04,0.4,N
185510,0.945,0.28,N
185828,0.82,0.21,N
186137,0.88,0.395,N
186428,0.845,0.08,N
186717,0.855,0.13,N
187005,0.89,0.2,N
187291,0.89,0.14,N
187577,0.935,0.505,N
187872,0.83,0.05,N
188179,0.985,0.405,N
188481,0.875,0.12,N
188763,0.87,0.335,N
189043,1.01,0.465,N
189330,0.875,0.23,N
189624,0.835,0.325,N
189929,0.875,0.44,N
190228,0.93,0.38,N
190529,0.875,0.075,N
190820,0.865,0.265,N
191112,0.885,0.225,N
191395,0.91,0.4,N
191674,0.81,0.035,N
191977,0.895,0.215,N
192281,0.84,0.37,N
192575,0.835,0.115,N
192862,0.82,0.105,N
193146,0.91,0.295,N
193423,0.86,-0.025,N
193703,0.86,-0.05,N
193994,0.91,0.21,N
194281,0.845,0.12,N
194574,0.815,0.22,N
194868,1.07,0.54,N
195156,1.09,0.575,N
195426,0.845,0.625,N
195701,0.785,-0.015,N
195978,0.835,0.275,N
196268,0.875,0.53,N
196560,0.87,0.235,N
196847,0.815,0.14,N
197132,0.975,0.225,N
197414,0.995,0.405,N
197685,0.87,-0.035,N
197950,0.85,-0.12,N
198224,1.07,0.515,N
198504,0.99,0.465,N
198791,0.895,0.5,N
199075,0.865,0.3,N
199353,1.06,0.295,N
199619,0.97,0.185,N
199894,0.825,0.255,N
200161,0.815,0.51,N
200434,1.03,0.755,N
200714,0.93,0.52,N
200993,0.865,0.11,N
201271,0.855,0.225,N
201545,0.985,0.325,N
201806,0.855,0.46,N
202067,0.855,0.095,N
202339,0.945,0.375,N
202614,0.98,0.715,N
202896,0.825,0.335,N
203182,0.855,0.245,N
203468,0.94,0.535,N
203741,0.84,0.265,N
204021,0.77,0.26,N
204299,0.855,0.27,N
204574,1.015,0.615,N
204854,0.89,0.355,N
205158,0.86,0.34,N
205459,0.945,0.13,N
205737,0.96,0.37,N
206016,0.945,0.425,N
206288,0.83,0.26,N
206567,0.955,0.21,N
206844,0.97,0.595,N
207130,0.84,0.015,N
207421,0.815,0.035,N
207724,0.825,0.31,N
208004,0.855,0.44,N
208277,0.715,0.395,N
208548,0.805,0.205,N
208822,0.9,0.365,N
209100,0.92,0.445,N
209392,0.79,0.41,N
209683,0.75,0.29,N
209973,0.85,0.155,N
210256,0.89,0.335,N
210534,0.775,0.08,N
210809,0.875,0.125,N
211085,0.84,0.455,N
211364,0.83,0.385,N
211654,0.835,0.175,N
211951,0.865,0.24,N
212228,0.85,0.28,N
212502,0.84,0.165,N
212777,0.785,0.315,N
213058,0.87,0.14,N
213326,0.835,0.495,N
213606,0.725,0.325,N
213894,0.665,0.205,N
214181,0.775,0.1,N
214465,0.805,0.26,N
214738,0.78,0.055,N
215005,0.755,0.125,N
215280,0.885,0.42,N
215563,0.83,0.225,N
215850,0.74,0.315,N
216141,0.79,0.115,N
216431,0.835,0.3,N
216710,0.885,0.205,N
216990,0.835,0.26,N
217268,0.8,0.255,N
217547,0.92,0.18,N
217824,0.85,0.36,N
218122,0.79,0.275,N
218416,0.975,0.57,N
218703,0.95,0.58,N
218972,0.855,0.375,N
219246,0.85,0.245,N
219529,1.05,0.575,N
219813,0.925,0.305,N
220098,0.775,0.405,N
220391,0.77,0.225,N
220691,0.92,0.14,N
220977,0.92,0.26,N
221252,0.8,0.245,N
221527,0.78,-0.065,N
221804,0.845,0.025,N
222081,0.86,0.455,N
222375,0.77,0.23,N
222666,0.84,0.18,N
222951,0.89,0.64,N
223227,0.86,0.57,N
223507,0.83,0.135,N
223783,0.82,0.325,N
224047,0.91,0.255,N
224328,0.825,0.595,N
224621,0.8,0.275,N
224915,0.895,0.355,N
225195,1.025,0.38,N
225472,0.93,0.315,N
225743,1.035,0.345,N
226024,0.945,0.405,N
226296,0.87,0.375,N
226573,0.98,0.555,N
226863,0.9,0.105,N
227144,1.055,0.655,N
227427,0.905,0.43,N
227702,0.76,0.025,N
227975,0.79,0.2,N
228238,0.84,0.405,N
228516,0.85,0.465,N
228808,0.83,0.1,N
229094,0.84,0.27,N
229376,0.905,0.47,N
229660,0.885,0.145,N
229936,0.81,0.095,N
230214,0.86,0.27,N
230485,0.865,0.14,N
230761,0.82,0.095,N
231058,0.825,0.12,N
231357,0.835,0.57,N
231638,0.775,0.42,N
231913,0.73,0.27,N
232190,0.82,0.04,N
232459,0.845,0.415,N
232732,0.9,0.21,N
233016,0.865,0.03,N
233301,0.9,0.27,N
233588,0.92,0.41,N
233875,0.84,0.21,N
234151,0.825,-0.05,N
234415,0.865,0.155,N
234684,0.85,0.41,N
234959,0.82,0.15,N
235249,0.81,0.26,N
235547,0.865,0.21,N
235828,0.855,0.23,N
236108,0.715,0.27,N
236390,0.78,0.095,N
236664,0.905,0.695,N
236927,0.815,0.505,N
237205,0.8,0.215,N
237495,0.795,0.12,N
237783,0.89,0.415,N
238070,0.81,0.4,N
238343,0.785,0.22,N
238610,1.01,0.35,N
238884,0.915,0.275,N
239157,0.885,0.495,N
239433,0.81,0.2,N
239717,0.965,0.465,N
239996,1.25,0.97,N
240266,0.985,0.775,N
240541,0.865,0.025,N
240809,1.05,0.575,N
241065,1.01,0.325,N
241318,0.92,0.33,N
241588,1.005,0.415,N
241855,1.085,0.57,N
242114,0.975,0.345,N
242373,0.84,0.215,N
242632,1.015,0.035,N
242879,1.035,0.505,N
243132,0.915,0.03,N
243388,0.85,0.075,N
243643,1.0,0.25,N
243908,0.99,0.37,N
244191,0.81,0.31,N
244461,0.99,0.35,N
244729,1.1,0.47,N
244984,1.04,0.595,N
245246,1.045,0.665,N
245515,0.94,0.345,N
245791,1.155,0.695,N
246065,1.045,0.635,N
246352,0.97,0.22,N
246647,0.87,0.28,N
246935,1.07,0.385,N
247201,1.035,0.62,N
247469,0.945,0.27,N
247742,0.875,0.015,N
248017,0.91,0.535,N
248300,0.985,0.4,N
248586,0.81,0.41,N
248878,0.835,0.12,N
249158,1.14,0.73,N
249433,0.89,0.56,N
249706,0.77,0.195,N
249988,0.74,0.21,N
250273,0.895,0.38,N
250558,0.955,0.44,N
250858,0.74,0.385,N
251160,0.815,0.18,N
251441,0.885,0.575,N
251710,0.83,0.755,N
251994,0.82,0.145,N
252285,0.795,0.325,N
252584,0.835,0.64,N
252868,0.915,0.335,N
253159,0.93,0.455,N
253456,0.895,0.06,N
253741,0.965,0.42,N
254010,1.0,0.355,N
254282,0.965,0.445,N
254585,0.88,0.115,N
254891,0.93,0.44,N
255170,0.985,0.66,N
255453,0.945,0.375,N
255738,0.955,0.475,N
256027,0.895,0.245,N
256295,0.94,0.65,N
256572,0.87,0.48,N
256860,0.79,0.485,N
257157,0.935,0.68,N
257439,0.89,0.6,N
257710,0.84,0.155,N
257966,1.0,0.225,N
258226,1.005,0.42,N
258478,0.945,0.46,N
258737,0.815,0.4,N
259005,1.015,0.39,N
259280,0.97,0.415,N
259541,0.915,0.295,N
259811,0.85,0.45,N
260076,0.88,0.415,N
260334,1.07,0.36,N
260585,0.95,0.36,N
260852,0.95,0.485,N
261132,0.89,0.41,N
261417,1.04,0.66,N
261690,1.05,0.555,N
261968,1.0,0.38,N
262241,0.99,0.27,N
262516,1.05,0.505,N
262789,0.945,0.21,N
263062,0.82,0.405,N
263350,0.875,0.225,N
263641,1.02,0.45,N
263931,0.94,0.315,N
264217,0.865,0.3,N
264499,0.91,0.125,N
264772,1.04,0.78,N
265062,0.855,0.35,N
265354,0.81,0.215,N
265651,0.86,0.475,N
265947,0.995,0.395,N
266238,0.92,0.395,N
266528,0.815,0.36,N
266815,0.95,0.31,N
267099,0.975,0.4,N
267375,0.83,0.41,N
267679,0.865,0.145,N
267978,0.89,0.255,N
268260,0.94,0.295,N
268544,0.85,0.345,N
268823,0.865,0.11,N
269102,0.92,0.215,N
269384,1.02,0.41,N
269669,0.835,0.25,N
269960,1.02,0.475,N
270257,0.85,0.05,N
270550,0.795,0.115,N
270821,0.89,0.355,N
271094,0.88,0.465,N
271370,0.84,0.285,N
271656,0.855,0.075,N
271952,0.96,0.72,N
272244,0.905,0.465,N
272533,0.83,0.185,N
272839,0.87,0.15,N
273123,0.93,0.39,N
273394,0.96,0.345,N
273675,0.91,0.3,N
273967,0.925,0.195,N
274264,0.99,0.39,N
274560,0.915,0.465,N
274852,0.885,0.25,N
275131,0.91,0.36,N
275403,1.05,0.355,N
275671,0.985,0.43,N
275949,0.905,0.0,N
276235,0.935,0.355,N
276516,1.1,0.515,N
276804,1.02,0.745,N
277102,0.86,0.285,N
277388,1.02,0.455,N
277649,1.08,0.515,N
277923,1.11,0.47,N
278211,0.915,0.41,N
278518,0.905,0.055,N
278814,1.19,0.63,N
279098,1.095,0.74,N
279382,1.005,0.41,N
279576,0.905,0.045,A
279918,1.105,0.465,N
280209,1.23,0.705,N
280511,0.975,0.45,N
280814,0.89,0.255,N
281110,1.06,0.23,N
281402,1.185,0.26,N
281682,1.07,0.26,N
281955,0.995,-0.005,N
282232,0.96,0.53,N
282513,1.18,0.57,N
282801,1.08,0.62,N
